scenario,week_end_date,contrib_weekly_return,contrib_realized_volatility,contrib_macro_shock_abs,contrib_macro_neg_lag1,contrib_macro_neg_lag2,contrib_macro_neg_lag3,contrib_macro_pos_lag1,contrib_macro_pos_lag2,contrib_macro_pos_lag3,contrib_interest_rate_direction,contrib_d_geo,contrib_d_mp,contrib_d_trade,contrib_log_trading_days,contrib_intercept,contrib_arma,exog_total,forecast_log_volume
BASE,2026-04-24,0.0043,0.023523,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.043818,0.0,31.340465,-0.015995,31.32447
BASE,2026-05-01,0.0043,0.023523,0.050273,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.037743,0.0,31.32497,0.040353,31.365323
BASE,2026-05-08,0.0043,0.023523,0.0,0.007961,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.043818,0.0,31.307127,-0.008034,31.299093
BASE,2026-05-15,0.0043,0.023523,0.0,0.0,-0.017533,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.029911,0.0,31.282645,-0.01962,31.263025
BASE,2026-05-22,0.0043,0.023523,0.201091,0.0,-0.0,-0.005817,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.043818,0.0,31.292113,0.17928,31.471392
BASE,2026-05-29,0.0043,0.023523,0.0,0.0,-0.0,-0.0,0.231068,-0.0,0.0,0.0,0.0,0.0,0.0,-0.029911,0.0,31.275644,0.228981,31.504624
BASE,2026-06-05,0.0043,0.023523,0.0,0.0,-0.0,-0.0,0.0,-0.021745,0.0,0.0,0.0,0.0,0.0,-0.037743,0.0,31.273742,-0.031665,31.242078
BASE,2026-06-12,0.0043,0.023523,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.04853,0.0,0.0,0.0,0.0,-0.043818,0.0,31.280389,0.032535,31.312925
BEAR,2026-04-24,0.0043,0.023523,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.043818,0.0,31.340465,-0.015995,31.32447
BEAR,2026-05-01,0.0043,0.023523,0.050273,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.037743,0.0,31.32497,0.040353,31.365323
BEAR,2026-05-08,0.0043,0.023523,0.0,0.007961,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.043818,0.0,31.307127,-0.008034,31.299093
BEAR,2026-05-15,0.0043,0.023523,0.0,0.0,-0.017533,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.029911,0.0,31.282645,-0.01962,31.263025
BEAR,2026-05-22,0.0043,0.023523,0.502728,0.0,-0.0,-0.005817,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.043818,0.0,31.292113,0.480917,31.773029
BEAR,2026-05-29,0.0043,0.023523,0.100546,0.07961,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.029911,0.0,31.275644,0.178069,31.453713
BEAR,2026-06-05,0.0043,0.023523,0.0,0.015922,-0.175331,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.037743,0.0,31.273742,-0.169328,31.104414
BEAR,2026-06-12,0.0043,0.023523,0.0,0.0,-0.035066,-0.058167,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.043818,0.0,31.280389,-0.109228,31.171161
BULL,2026-04-24,0.0043,0.023523,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.043818,0.0,31.340465,-0.015995,31.32447
BULL,2026-05-01,0.0043,0.023523,0.050273,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.037743,0.0,31.32497,0.040353,31.365323
BULL,2026-05-08,0.0043,0.023523,0.0,0.0,-0.0,0.0,0.057767,-0.0,0.0,0.0,0.0,0.0,0.0,-0.043818,0.0,31.307127,0.041772,31.348899
BULL,2026-05-15,0.0043,0.023523,0.0,0.0,-0.0,-0.0,0.0,-0.005436,0.0,0.0,0.0,0.0,0.0,-0.029911,0.0,31.282645,-0.007523,31.275122
BULL,2026-05-22,0.0043,0.023523,0.502728,0.0,-0.0,-0.0,0.0,-0.0,0.012133,0.0,0.0,0.0,0.0,-0.043818,0.0,31.292113,0.498866,31.790978
BULL,2026-05-29,0.0043,0.023523,0.100546,0.0,-0.0,-0.0,0.57767,-0.0,0.0,0.0,0.0,0.0,0.0,-0.029911,0.0,31.275644,0.676128,31.951772
BULL,2026-06-05,0.0043,0.023523,0.0,0.0,-0.0,-0.0,0.115534,-0.054362,0.0,0.0,0.0,0.0,0.0,-0.037743,0.0,31.273742,0.051252,31.324994
BULL,2026-06-12,0.0043,0.023523,0.0,0.0,-0.0,-0.0,0.0,-0.010872,0.121326,0.0,0.0,0.0,0.0,-0.043818,0.0,31.280389,0.094458,31.374847
