scenario,week_end_date,forecast_log_volume,lower_ci,upper_ci,forecast_volume_idr_bn,forecast_new_accounts,baseline_new_accounts,ipo_contribution_accounts
BASE,2026-04-24,31.324469898435087,-2134024538.6333935,2134024601.2823331,200915.9567384164,96794,96794,0
BASE,2026-05-01,31.36532300341437,-2402892368.1561837,2402892430.88683,167435.17285273928,98989,98989,0
BASE,2026-05-08,31.299092911280262,-2564876636.588038,2564876699.1862235,195881.46537429967,95455,95455,0
BASE,2026-05-15,31.26302515795584,-2703715110.431556,2703715172.957607,113365.41140423565,93584,93584,0
BASE,2026-05-22,31.471392238700194,-2833236909.587872,2833236972.5306563,232713.7215361887,104922,104922,0
BASE,2026-05-29,31.504624413640393,-2956605868.247748,2956605931.2569966,144346.3451433905,106853,106853,0
BASE,2026-06-05,31.24207750058762,-3074935420.7326756,3074935483.2168303,148020.49527717574,92514,92514,0
BASE,2026-06-12,31.312924571307043,-3188858910.659915,3188858973.2857637,198609.65541232534,96182,96182,0
BEAR,2026-04-24,31.324469898435087,-2134024538.6333935,2134024601.2823331,200915.9567384164,96794,96794,0
BEAR,2026-05-01,31.36532300341437,-2402892368.1561837,2402892430.88683,167435.17285273928,98989,98989,0
BEAR,2026-05-08,31.299092911280262,-2564876636.588038,2564876699.1862235,195881.46537429967,95455,95455,0
BEAR,2026-05-15,31.26302515795584,-2703715110.431556,2703715172.957607,113365.41140423565,93584,93584,0
BEAR,2026-05-22,31.77302921513819,-2833236909.286235,2833236972.8322935,314645.3122756371,123812,123812,0
BEAR,2026-05-29,31.453712704530385,-2956605868.2986593,2956605931.206085,137181.36428915153,103909,103909,0
BEAR,2026-06-05,31.104413925573247,-3074935420.870339,3074935483.079167,128983.84587751694,85782,85782,0
BEAR,2026-06-12,31.171161355987092,-3188858910.801678,3188858973.1440005,172358.76586286776,88983,88983,0
BULL,2026-04-24,31.324469898435087,-2134024538.6333935,2134024601.2823331,200915.9567384164,96794,96794,0
BULL,2026-05-01,31.36532300341437,-2402892368.1561837,2402892430.88683,167435.17285273928,98989,98989,0
BULL,2026-05-08,31.348898823645012,-2564876636.538232,2564876699.2360296,205884.55933843812,98100,98100,0
BULL,2026-05-15,31.27512198022369,-2703715110.4194593,2703715172.9697037,114745.10074118318,94207,94207,0
BULL,2026-05-22,31.790978461429408,-2833236909.2682858,2833236972.8502426,320343.94859758095,125038,125038,0
BULL,2026-05-29,31.9517718281779,-2956605867.8006005,2956605931.704144,225735.2835257467,136574,136574,0
BULL,2026-06-05,31.324993972981243,-3074935420.649759,3074935483.299747,160817.02341862314,96822,96822,0
BULL,2026-06-12,31.374847463434936,-3188858910.597992,3188858973.347687,211296.90137551437,99507,99507,0
