week_end_date,BASE_vol_idr_bn,BASE_vol_lower_95,BASE_vol_upper_95,BASE_new_accounts,BULL_vol_idr_bn,BULL_new_accounts,BEAR_vol_idr_bn,BEAR_new_accounts
2026-04-24,200915.96,44830.41,900442.85,96794,200915.96,96794,200915.96,96794
2026-05-01,209293.97,46699.8,937990.48,98989,209293.97,98989,209293.97,98989
2026-05-08,195881.47,43707.06,877879.82,95455,205884.56,98100,195881.47,95455
2026-05-15,188942.35,42158.74,846780.88,93584,191241.83,94207,188942.35,93584
2026-05-22,232713.72,51925.45,1042950.54,104922,320343.95,125038,314645.31,123812
2026-05-29,240577.24,53680.04,1078192.4,106853,376225.47,136574,228635.61,103909
2026-06-05,185025.62,41284.8,829227.29,92514,201021.28,96822,161229.81,85782
2026-06-12,198609.66,44315.8,890106.72,96182,211296.9,99507,172358.77,88983

# ────────────────────────────────────────────────────────────
# MODEL & DATA NOTES
# ────────────────────────────────────────────────────────────
# Model 1 (Volume): SARIMAX(1,1,1)(1,0,1,52)  AIC=4861.5  BIC=4912.9
# Model 2 (New Accounts): Negative Binomial  Pseudo R²=0.0756
# Confidence intervals (BASE_vol_lower_95 / BASE_vol_upper_95) are clipped to forecast ±exp(1.5) due to SARIMAX prediction-interval numerical instability over an 8-week horizon. Treat as indicative range only.
# IPO WARNING: Negative IPO coefficients detected in Model 2. This suggests announcement_date values in ipo_calendar.csv may be IDX listing dates rather than book-open/subscription-start dates. Shift dates ~3–4 weeks earlier to the actual investor registration window for correct IPO uplift estimation.
# Data note: 1 week(s) in macro_shocks.csv had blank new_accounts and were excluded from Model 2 fitting.
# Backtest MAPE (volume) — Cycle 1: 17.3%  |  Cycle 2: 29.3%  |  Cycle 3: 30.7%
# ────────────────────────────────────────────────────────────
# SENSITIVITY RANKING — impact of 1 std dev change on weekly volume
#   (log-volume units; vol_pct = approx % change in weekly IDR volume)
#   1. macro_shock_abs           coef=+0.1005  1σ=0.6609  → +0.0665 log-units (+6.9% vol)
#   2. macro_pos_lag1            coef=+0.1155  1σ=0.4000  → +0.0462 log-units (+4.7% vol)
#   3. d_geo                     coef=+0.3065  1σ=0.1094  → +0.0335 log-units (+3.4% vol)
#   4. macro_neg_lag2            coef=-0.0351  1σ=0.5464  → -0.0192 log-units (-1.9% vol)
#   5. interest_rate_direction   coef=+0.1335  1σ=0.1115  → +0.0149 log-units (+1.5% vol)
# ────────────────────────────────────────────────────────────
# VARIABLE CONTRIBUTION SUMMARY (avg over 8-week forecast, log-volume units)
#   Positive = volume-boosting; Negative = volume-suppressing
#   BASE:
#     Boosters:    macro_shock_abs=+0.0314  macro_pos_lag1=+0.0289  realized_volatility=+0.0235
#     Suppressors: log_trading_days=-0.0388  macro_pos_lag2=-0.0027  macro_neg_lag2=-0.0022
#     ARMA component (avg): +31.2971
#   BEAR:
#     Boosters:    macro_shock_abs=+0.0817  realized_volatility=+0.0235  macro_neg_lag1=+0.0129
#     Suppressors: log_trading_days=-0.0388  macro_neg_lag2=-0.0285  macro_neg_lag3=-0.0080
#     ARMA component (avg): +31.2971
#   BULL:
#     Boosters:    macro_pos_lag1=+0.0939  macro_shock_abs=+0.0817  realized_volatility=+0.0235
#     Suppressors: log_trading_days=-0.0388  macro_pos_lag2=-0.0088
#     ARMA component (avg): +31.2971
#   BEAR vs BASE — key differentiators (avg delta):
#     macro_shock_abs           +0.0503 log-units (+5.2% vol)
#     macro_pos_lag1            -0.0289 log-units (-2.8% vol)
#     macro_neg_lag2            -0.0263 log-units (-2.6% vol)
#     macro_neg_lag1            +0.0119 log-units (+1.2% vol)
#     macro_neg_lag3            -0.0073 log-units (-0.7% vol)
#   BULL vs BASE — key differentiators (avg delta):
#     macro_pos_lag1            +0.0650 log-units (+6.7% vol)
#     macro_shock_abs           +0.0503 log-units (+5.2% vol)
#     macro_pos_lag3            +0.0106 log-units (+1.1% vol)
#     macro_pos_lag2            -0.0061 log-units (-0.6% vol)
#     macro_neg_lag2            +0.0022 log-units (+0.2% vol)
# ────────────────────────────────────────────────────────────
