week_end_date,ipo_ticker,company_name,market_cap_idr_trillion,baseline_accounts,ipo_accounts,actual_accounts,ipo_uplift_pct,ipo_large_flag
2024-03-01,,,,39162,29391,45644.0,-24.94869935292277,0
2024-03-15,,,,38107,22637,32775.0,-40.59463437946493,0
2024-03-29,,,,40277,23926,34184.0,-40.59463437946494,0
2024-05-10,,,,42464,31869,29820.0,-24.948699352922777,0
2024-05-31,,,,54361,40798,24864.0,-24.948699352922777,0
2024-06-07,,,,43636,24729,24231.0,-43.32808416494686,0
2024-06-14,,,,44492,19958,23669.0,-55.142471195419176,0
2024-07-12,,,,46985,35263,23811.0,-24.94869935292278,0
2024-09-06,,,,60575,45462,25747.0,-24.948699352922773,0
2024-09-13,,,,83964,47584,24735.0,-43.32808416494686,0
2024-10-04,,,,60608,45487,27604.0,-24.94869935292278,0
2024-10-11,,,,60624,34356,23224.0,-43.32808416494685,0
2024-10-18,,,,62907,28218,23342.0,-55.14247119541916,0
2024-11-08,,,,36065,38526,28362.0,6.822944856858482,1
2024-11-15,,,,37962,30621,29488.0,-19.33702829950667,1
2024-11-22,,,,37790,24128,28307.0,-36.152827671304564,1
2024-12-06,,,,42217,35696,33855.0,-15.446420765912935,1
2024-12-13,,,,55115,44457,29313.0,-19.337028299506805,1
2025-02-14,,,,39542,29676,26774.0,-24.948699352922763,0
2025-02-21,,,,45240,25638,26090.0,-43.32808416494685,0
2025-02-28,,,,37073,23670,28463.0,-36.15282767130456,1
2025-03-07,,,,54497,34795,29354.0,-36.15282767130445,1
2025-03-14,,,,38569,24625,26833.0,-36.15282767130456,1
2025-04-18,,,,60730,45579,72813.0,-24.948699352922773,0
2025-06-13,,,,71245,76107,50593.0,6.822944856858308,1
2025-06-20,,,,62961,50786,68749.0,-19.337028299506663,1
2025-08-29,,,,106713,113993,88306.0,6.822944856858496,1
2025-10-17,,,,165781,124421,146634.0,-24.948699352922773,0
2025-11-14,,,,136722,102612,159872.0,-24.94869935292277,0
2025-11-21,,,,115291,92997,121798.0,-19.337028299506677,1
2026-03-20,,,,102152,76666,77895.0,-24.94869935292277,0
